"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5964","should perform complete user workflow","chromium","Thu Feb 27 13:17:28 UTC 2025","passed","Thu Feb 27 13:17:34 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","6646","verify empty message validation","webkit","Thu Feb 27 13:20:15 UTC 2025","passed","Thu Feb 27 13:20:22 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","5117","should login successfully with valid user credentials","chromium","Thu Feb 27 13:17:29 UTC 2025","passed","Thu Feb 27 13:17:34 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","5638","search and filter users","webkit","Thu Feb 27 13:19:54 UTC 2025","passed","Thu Feb 27 13:20:00 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","2763","should show validation messages for empty form","webkit","Thu Feb 27 13:20:47 UTC 2025","passed","Thu Feb 27 13:20:50 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","4760","should validate password requirements","webkit","Thu Feb 27 13:20:49 UTC 2025","passed","Thu Feb 27 13:20:54 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","7311","update profile settings and verify","chromium","Thu Feb 27 13:16:39 UTC 2025","passed","Thu Feb 27 13:16:47 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","8068","search and filter users","firefox","Thu Feb 27 13:17:48 UTC 2025","passed","Thu Feb 27 13:17:56 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5805","should reset the search form correctly","webkit","Thu Feb 27 13:20:23 UTC 2025","passed","Thu Feb 27 13:20:29 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","3770","should login successfully with valid admin credentials","webkit","Thu Feb 27 13:21:05 UTC 2025","passed","Thu Feb 27 13:21:09 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","2903","should show error when only password is entered","webkit","Thu Feb 27 13:20:41 UTC 2025","passed","Thu Feb 27 13:20:44 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","6851","should login successfully with valid admin credentials","firefox","Thu Feb 27 13:19:41 UTC 2025","passed","Thu Feb 27 13:19:48 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","3736","search and filter agents","chromium","Thu Feb 27 13:16:37 UTC 2025","passed","Thu Feb 27 13:16:41 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","6722","should navigate through menu items successfully","webkit","Thu Feb 27 13:20:54 UTC 2025","passed","Thu Feb 27 13:21:00 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","7020","should ensure UI elements are clickable and lead to correct pages","webkit","Thu Feb 27 13:20:25 UTC 2025","passed","Thu Feb 27 13:20:32 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","7963","should login successfully with valid agent credentials","firefox","Thu Feb 27 13:19:36 UTC 2025","passed","Thu Feb 27 13:19:44 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","8601","verify negative values validation","firefox","Thu Feb 27 13:18:13 UTC 2025","passed","Thu Feb 27 13:18:22 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","5799","verify negative values validation","webkit","Thu Feb 27 13:20:13 UTC 2025","passed","Thu Feb 27 13:20:19 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","6330","search and filter properties","chromium","Thu Feb 27 13:16:25 UTC 2025","passed","Thu Feb 27 13:16:31 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","6334","create property successfully and verify creation","chromium","Thu Feb 27 13:16:45 UTC 2025","passed","Thu Feb 27 13:16:51 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4320","should validate password requirements","chromium","Thu Feb 27 13:17:19 UTC 2025","passed","Thu Feb 27 13:17:23 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","6177","verify empty property validation","chromium","Thu Feb 27 13:16:46 UTC 2025","passed","Thu Feb 27 13:16:52 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","6202","should display dashboard correctly for user role","chromium","Thu Feb 27 13:17:22 UTC 2025","passed","Thu Feb 27 13:17:28 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","8592","display dashboard correctly for agent role","firefox","Thu Feb 27 13:18:03 UTC 2025","passed","Thu Feb 27 13:18:11 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","3467","should show error when only password is entered","chromium","Thu Feb 27 13:17:11 UTC 2025","passed","Thu Feb 27 13:17:15 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","4504","should reset the search form correctly","chromium","Thu Feb 27 13:16:59 UTC 2025","passed","Thu Feb 27 13:17:03 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","7808","should show error when only password is entered","firefox","Thu Feb 27 13:18:59 UTC 2025","passed","Thu Feb 27 13:19:07 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","6906","should verify search of properties","webkit","Thu Feb 27 13:20:32 UTC 2025","passed","Thu Feb 27 13:20:39 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","9445","should display error message with non-existent user","firefox","Thu Feb 27 13:19:04 UTC 2025","passed","Thu Feb 27 13:19:13 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","8346","edit user","webkit","Thu Feb 27 13:19:56 UTC 2025","passed","Thu Feb 27 13:20:04 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","10647","edit user","firefox","Thu Feb 27 13:17:51 UTC 2025","passed","Thu Feb 27 13:18:01 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","9829","should ensure UI elements are clickable and lead to correct pages","firefox","Thu Feb 27 13:18:32 UTC 2025","passed","Thu Feb 27 13:18:42 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","4688","should login successfully with valid agent credentials","chromium","Thu Feb 27 13:17:34 UTC 2025","passed","Thu Feb 27 13:17:39 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","11385","should reset the search form correctly","firefox","Thu Feb 27 13:18:30 UTC 2025","passed","Thu Feb 27 13:18:42 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","5622","verify property deletion bug","webkit","Thu Feb 27 13:19:50 UTC 2025","passed","Thu Feb 27 13:19:56 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5312","create property successfully and verify creation","webkit","Thu Feb 27 13:20:09 UTC 2025","passed","Thu Feb 27 13:20:15 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4028","should verify search of properties","chromium","Thu Feb 27 13:17:04 UTC 2025","passed","Thu Feb 27 13:17:08 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","8645","create property successfully and verify creation","firefox","Thu Feb 27 13:18:10 UTC 2025","passed","Thu Feb 27 13:18:19 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4685","should login successfully with valid admin credentials","chromium","Thu Feb 27 13:17:34 UTC 2025","passed","Thu Feb 27 13:17:39 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","9053","should login successfully with valid user credentials","firefox","Thu Feb 27 13:19:34 UTC 2025","passed","Thu Feb 27 13:19:43 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","10250","update profile settings and verify","firefox","Thu Feb 27 13:18:22 UTC 2025","passed","Thu Feb 27 13:18:32 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","7808","edit user","chromium","Thu Feb 27 13:16:31 UTC 2025","passed","Thu Feb 27 13:16:39 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","6688","should perform complete user workflow","webkit","Thu Feb 27 13:20:55 UTC 2025","passed","Thu Feb 27 13:21:02 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","8245","should verify sending message to agent","webkit","Thu Feb 27 13:20:29 UTC 2025","passed","Thu Feb 27 13:20:37 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","5947","verify negative values validation","chromium","Thu Feb 27 13:16:47 UTC 2025","passed","Thu Feb 27 13:16:53 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","3973","should show error when only email is entered","chromium","Thu Feb 27 13:17:09 UTC 2025","passed","Thu Feb 27 13:17:13 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","9213","should show error with invalid credentials","firefox","Thu Feb 27 13:18:51 UTC 2025","passed","Thu Feb 27 13:19:00 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","6993","update profile settings and verify","chromium","Thu Feb 27 13:16:53 UTC 2025","passed","Thu Feb 27 13:17:00 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4195","should successfully create new account","chromium","Thu Feb 27 13:17:15 UTC 2025","passed","Thu Feb 27 13:17:19 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","10191","should verify sending message to agent","firefox","Thu Feb 27 13:18:42 UTC 2025","passed","Thu Feb 27 13:18:52 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","9386","should navigate through menu items successfully","firefox","Thu Feb 27 13:19:24 UTC 2025","passed","Thu Feb 27 13:19:34 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","9793","should display error message with invalid password","firefox","Thu Feb 27 13:19:00 UTC 2025","passed","Thu Feb 27 13:19:10 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","6140","verify dashboard cards contain numeric values","chromium","Thu Feb 27 13:16:25 UTC 2025","passed","Thu Feb 27 13:16:31 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","3197","should show validation message when passwords do not match","webkit","Thu Feb 27 13:20:48 UTC 2025","passed","Thu Feb 27 13:20:51 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5383","should display error message with non-existent user","chromium","Thu Feb 27 13:17:13 UTC 2025","passed","Thu Feb 27 13:17:18 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","11494","should update profile settings, logout and verify new credentials","firefox","Thu Feb 27 13:19:30 UTC 2025","passed","Thu Feb 27 13:19:41 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","3385","should show error when only email is entered","webkit","Thu Feb 27 13:20:39 UTC 2025","passed","Thu Feb 27 13:20:42 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","7412","verify message sending to agent","chromium","Thu Feb 27 13:16:51 UTC 2025","passed","Thu Feb 27 13:16:59 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","5168","should display error message with invalid password","webkit","Thu Feb 27 13:20:42 UTC 2025","passed","Thu Feb 27 13:20:47 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","5673","should navigate through menu items successfully","chromium","Thu Feb 27 13:17:24 UTC 2025","passed","Thu Feb 27 13:17:29 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","9581","should perform complete user workflow","firefox","Thu Feb 27 13:19:26 UTC 2025","passed","Thu Feb 27 13:19:36 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","9483","verify empty message validation","firefox","Thu Feb 27 13:18:20 UTC 2025","passed","Thu Feb 27 13:18:30 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","5564","should display dashboard correctly for user role","webkit","Thu Feb 27 13:20:51 UTC 2025","passed","Thu Feb 27 13:20:57 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","6426","should verify login after registration","chromium","Thu Feb 27 13:17:22 UTC 2025","passed","Thu Feb 27 13:17:28 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","8494","should view property details and validate URL","firefox","Thu Feb 27 13:18:41 UTC 2025","passed","Thu Feb 27 13:18:49 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","8908","should update profile settings, logout and verify new credentials","chromium","Thu Feb 27 13:17:28 UTC 2025","passed","Thu Feb 27 13:17:37 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","0","should not allow registration with existing email","firefox","Thu Feb 27 13:19:16 UTC 2025","skipped","Thu Feb 27 13:19:16 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5384","should display error message with invalid password","chromium","Thu Feb 27 13:17:13 UTC 2025","passed","Thu Feb 27 13:17:18 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","10240","search and filter properties","firefox","Thu Feb 27 13:17:40 UTC 2025","passed","Thu Feb 27 13:17:50 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5257","should verify login after registration","webkit","Thu Feb 27 13:20:50 UTC 2025","passed","Thu Feb 27 13:20:55 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","6053","verify property deletion bug","chromium","Thu Feb 27 13:16:25 UTC 2025","passed","Thu Feb 27 13:16:31 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","8927","should verify search of properties","firefox","Thu Feb 27 13:18:42 UTC 2025","passed","Thu Feb 27 13:18:51 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","8674","verify message sending to agent","webkit","Thu Feb 27 13:20:15 UTC 2025","passed","Thu Feb 27 13:20:23 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4626","should successfully create new account","webkit","Thu Feb 27 13:20:44 UTC 2025","passed","Thu Feb 27 13:20:49 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5685","should view property details and validate URL","webkit","Thu Feb 27 13:20:27 UTC 2025","passed","Thu Feb 27 13:20:32 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","3654","should show validation message when passwords do not match","chromium","Thu Feb 27 13:17:18 UTC 2025","passed","Thu Feb 27 13:17:22 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","6074","search and filter users","chromium","Thu Feb 27 13:16:31 UTC 2025","passed","Thu Feb 27 13:16:37 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","4643","should login successfully with valid agent credentials","webkit","Thu Feb 27 13:21:02 UTC 2025","passed","Thu Feb 27 13:21:07 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","7432","should show error with empty form submission","firefox","Thu Feb 27 13:18:52 UTC 2025","passed","Thu Feb 27 13:18:59 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","5628","delete agent","chromium","Thu Feb 27 13:16:39 UTC 2025","passed","Thu Feb 27 13:16:45 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5246","should display error message with non-existent user","webkit","Thu Feb 27 13:20:42 UTC 2025","passed","Thu Feb 27 13:20:48 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","11119","update profile settings and verify","firefox","Thu Feb 27 13:18:02 UTC 2025","passed","Thu Feb 27 13:18:13 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","2051","should verify main and sub headings","chromium","Thu Feb 27 13:16:57 UTC 2025","passed","Thu Feb 27 13:17:00 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","5983","should verify sending message to agent","chromium","Thu Feb 27 13:17:03 UTC 2025","passed","Thu Feb 27 13:17:09 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","4593","should view property details and validate URL","chromium","Thu Feb 27 13:17:00 UTC 2025","passed","Thu Feb 27 13:17:04 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","11056","verify message sending to agent","firefox","Thu Feb 27 13:18:19 UTC 2025","passed","Thu Feb 27 13:18:30 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","7936","should verify search of agents","firefox","Thu Feb 27 13:18:49 UTC 2025","passed","Thu Feb 27 13:18:57 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","7294","update profile settings and verify","webkit","Thu Feb 27 13:20:19 UTC 2025","passed","Thu Feb 27 13:20:27 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","9219","update profile settings and verify","webkit","Thu Feb 27 13:20:04 UTC 2025","passed","Thu Feb 27 13:20:13 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","3283","should show error with empty form submission","chromium","Thu Feb 27 13:17:08 UTC 2025","passed","Thu Feb 27 13:17:11 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","8658","should successfully create new account","firefox","Thu Feb 27 13:19:07 UTC 2025","passed","Thu Feb 27 13:19:16 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
